id,nome,via,civico,Latitude,Longitude,stelle,totalePostiLetto,TOTroom,2room,2room_1,3room,Email,Tel,Website,municipio
619,Hotel Ottaviano,Via Ottaviano,6,41.9067193,12.4579658,3,22,7,,2,2,,,,1
620,Paba Hotel,Via Cavour,266,41.8937547,12.4901272,2,20,7,,2,4,info@hotelpaba.com,647824497,,1
621,Hotel Pacific,Viale delle Medaglie d'Oro,51,41.9105451,12.4460738,3,129,82,37,43,2,info@hotelpacificroma.com,639732085,https://www.hotelpacificroma.com/,1
622,Palazzo Navona Hotel,Via del Melone,16,41.8976218,12.4744782,4,100,43,1,30,9,fom.palazzonavona.ext@enpam.it,681152341,,1
623,Palazzo Venere Hotel,Via Laurina,34,41.9086495,12.4778487,4,26,12,2,6,4,info@palazzovenere.com,6874030890,www.palazzovenere.com,1
624,Palladium Palace,Via Gioberti,36,41.8985219,12.5005422,4,221,80,6,15,52,,,,1
625,Palm Gallery Hotel,Via delle Alpi,15 D,41.9164778,12.5077708,3,20,9,,7,2,info@palmgalleryhotel.com,3.91E+11,www.palmgalleryhotel.com,2
626,Hotel Panda,Via della Croce,35,41.9061052,12.4795234,2,40,28,18,8,2,,,,1
627,Papillo Hotel & Resort,Via Arola,53,41.9319544,12.381497,4,169,82,,77,5,ricevimento@papillohotel.it,692043935,www.papillohotel.it,14
628,Park Hotel Cervara,Via di Tor Cervara,126,41.9226825,12.5880998,4,33,19,6,12,1,,,,4
629,Parlamento Boutique Hotel,Via delle Convertite,5,41.9026128,12.4800186,3,41,19,,16,3,hotelparlamento@libero.it,669921000,http://www.hotelparlamento.it/,1
630,Parrasio Hotel,Salita del Bosco Parrasio,9,41.8895068,12.4656186,3,14,7,,7,,info@parrasiohotel.com,687770139,,1
631,Pax  Hotel,Via di Campo Marzio,12,41.9021247,12.4773586,4,24,17,10,7,,segreteria.arbela@gmail.com,3279283635,,1
632,Hotel Philia,Via Palestro,88,41.9033809,12.5065237,3,100,48,8,31,6,info@hotelphilia.it,64469026,www.hotelphilia.it,1
633,Piazza Di Spagna,Via Mario De Fiori,61,41.9061687,12.4809534,3,50,20,1,9,9,,,,1
634,Piazza Di Spagna Suite De Charme,Via di San Sebastianello,8,41.9070209,12.4824857,1,15,7,,6,1,mariavittoria.mazzucchiello@gmail.com,3331375481,,1
635,Piemonte,Via Vicenza,32,41.9034185,12.5032117,3,57,34,11,23,,,,,1
636,Pinaco Hotel,Via Barberini,50,41.9045684,12.4919999,2,21,10,1,8,,info@pinacohotel.it,3921688236,,1
637,Pinewood hotel rome,Via Della Pineta Sacchetti,41,41.908251,12.425133,4,197,80,6,42,21,aiga@legalmail.it,639746823,,13
638,Hotel Plaza,Via del Corso,126,41.9051743,12.4787578,5,492,198,12,98,71,,,,1
639,Hotel Portoghesi,Via dei Portoghesi,1,41.9017904,12.4743516,3,39,25,13,10,2,,,,1
640,Prassede Palace Hotel,Via Merulana,282,41.8965101,12.4992337,4,21,13,6,6,1,prassedesrl@legalmail.it,3387517270,,1
641,Hotel Prati,Via Crescenzio,89,41.9058171,12.4609504,2,50,29,9,19,1,,,,1
642,Pride Hotel,Via Conte Verde,4,41.8937725,12.5061034,1,13,7,2,4,1,kodos8585@never.com,34864364000,,1
643,Princeps Boutique Hotel,Piazza dell'Esquilino,29,41.8978231,12.4969563,3,42,20,2,14,4,,,,1
644,Principe Amedeo,Via Principe Amedeo,2,41.9008928,12.497061,2,24,12,2,8,2,,,,1
645,Principe Di Piemonte,Via Giovanni Giolitti,449,41.8923752,12.5137713,3,22,18,14,4,,,,,1
646,Hotel Queen,Via San Martino della Battaglia,11,41.9053853,12.5045229,1,22,10,1,6,3,,,,1
647,Quirinale Luxury Rooms,Via Ventiquattro Maggio,51,41.897117,12.4870868,2,19,8,,6,1,info@trevipalacehotel.com,6483739,,1
648,Hotel Quisisana,Via Filippo Turati,37,41.8988006,12.5020059,2,88,36,4,13,18,,,,1
649,Radio Hotel,Via Antonio Pacinotti,8 E,41.8708936,12.4682065,2,49,29,9,20,,radiohotelroma@gmail.com,65580892,www.radiohotelroma.com,11
650,Hotel Raganelli,Via Aurelia,738,41.8922468,12.4131575,4,88,45,5,37,3,,,,13
651,Hotel Re Di Roma,Via Vercelli,21,41.8818992,12.5173819,3,82,38,1,31,5,info@hotelrediroma.com,670302501,,7
652,Hotel Regina Giovanna,Via Nazionale,230,41.9010294,12.4932468,3,23,11,2,6,3,,,,1
653,Hotel Regina Margherita,Via Bari,1,41.9107867,12.5134024,3,24,21,18,3,,antosrls2020@gmail.com,3355306873,,2
654,Hotel Relais Castrum Boccea,Via Santi Mario E Marta,27,41.9632214,12.3147165,4,63,30,7,14,8,,,,14
655,Hotel Residenza Gra 21,Via Anagnina,21,41.8387127,12.5897328,2,45,17,,12,5,,,,7
656,Residenza Piranesi Hotel.,Via Sistina,48,41.9049283,12.485198,3,62,28,2,20,4,fedroom@legalmail.it,3355758265,,1
657,Hotel Resort La Rocchetta,Via Giulio Galli,41,41.9919254,12.4005841,3,39,20,4,14,1,,,,15
658,Hotel Richmond,Largo Corrado Ricci,36,41.8931293,12.4882355,4,25,13,3,8,2,,,,1
659,Hotel Rimini,Via Marghera,17,41.9023028,12.5035963,3,90,37,4,14,18,,,,1
660,Hotel River Chateau,Via Flaminia,520,41.9394914,12.4696318,4,111,47,,33,11,,,,15
661,Hotel River Palace,Via Flaminia,31,41.9132267,12.475176,4,112,59,8,49,2,amministrazione@riverpalacehotel.it,6830011,,2
662,Hotel Rivoli,Via Torquato Taramelli,7,41.9227066,12.4831024,4,128,59,2,45,12,,,,2
663,Hotel Robinson,Via Milazzo,3,41.9016206,12.5043058,2,40,9,1,6,1,info@hotelrobinsonrome.com>,6491423,www.hotelrobinsonrome.com/,1
664,Roma Luxus Hotel,Largo Angelicum,4,41.8958578,12.4872811,5,65,28,4,15,7,romaluxushotel@gmail.com,632091281,www.romaluxushotel.com,1
665,Roma Room Hotel,Via Giovanni Battista Morgagni,41,41.9105846,12.5125279,3,51,29,8,20,1,artromahotel41@gmail.com,644260772,,2
666,Roma Trastevere,Viale di Trastevere,249,41.8763086,12.4660221,3,146,81,22,53,6,,,,12
667,romalive hotel,Via Flavia,84,41.9073287,12.4972968,1,25,15,5,10,,romalivehotel@gmail.com,68551287,,1
668,Hotel Roman's,Via Milazzo,3,41.9016206,12.5043058,1,18,10,2,8,,,,,1
669,Hotel Romantica,Via Principe Amedeo,77,41.8983611,12.5007886,2,24,14,4,10,,,,,1
670,Rome Art Boutique Hotel,Via Francesco Crispi,10,41.9031937,12.4856907,3,50,28,6,22,,info@romearthotel.com,679844142,https://www.romearthotel.com/it/,1
671,Rome Garden Hotel,Via Nomentana,28,41.9116422,12.5051008,3,71,34,7,18,8,info@romegarden.com,644252049,,2
672,Rome Love Hotel,Piazza Vittorio Emanuele II,121,41.8943398,12.5029153,1,23,11,,10,1,info@hotelromelove.com,3395958179,,1
673,Rome's Gloria Hotel,Via Germanico,198,41.9091417,12.463005,2,16,8,1,6,1,gm2014srl@gmail.com,666735426,www.romesgloriahotel.it,1
674,Romoli Hotel,Via della Caffarelletta,114,41.8697285,12.5146408,3,87,42,8,23,11,info@romolihotel.com,68411318,,7
675,Rosen Hotel,Via Flaminia Nuova,885,41.9560696,12.4827417,2,41,28,16,11,1,,,,15
676,Royal Palace Luxury Hotel,Via delle Carrozze,34,41.90605,12.4806892,4,25,17,9,8,,,,,1
677,Hotel San Francesco,Via Jacopa de' Settesoli,7,41.8849568,12.4726553,3,48,24,,24,,daniele.frontoni@gmail.com,3355253255,,1
678,Hotel San Marco,Via Villafranca,1,41.9049147,12.5052195,3,162,81,4,74,2,,,,1
679,Hotel San Silvestro,Via del Gambero,3,41.9028454,12.4804516,2,25,21,17,4,,,,,1
680,Hotel Sandra,Via Villafranca,10,41.9053337,12.5050899,1,23,9,,4,5,,,,1
681,Hotel Sandy,Via Cavour,136,41.896742,12.4957259,1,18,7,,3,4,,,,1
682,Hotel Sant'angelo,Via Marianna Dionigi,16,41.905715,12.472514,3,50,31,14,15,2,,,,1
683,Hotel Sant'anna,Borgo Pio,134,41.9039207,12.4592566,3,37,20,4,15,1,,,,1
684,Hotel Sant'anselmo,Piazza di Sant'Anselmo,2,41.88212,12.4794187,4,72,35,1,33,,info@aventinohotels.com,6570057,www.aventinohotels.com,1
685,Hotel Santa Chiara,Via di Santa Chiara,21,41.8976928,12.4769816,3,209,95,9,66,12,,,,1
686,Hotel Santa Maria,Vicolo del Piede,2,41.890178,12.4700771,3,53,19,,9,5,info@hotelsantamaria.info,65894626,,1
687,Santa Maura Hotel,Via Casilina,1038,41.8676961,12.5880998,3,56,32,8,24,,santamaurahotel@gmail.com,62674041,,6
688,Hotel Santa Prassede,Via di Santa Prassede,25,41.8962954,12.4990861,2,32,20,8,12,,,,,1
689,Hotel Saturnia,Via Ruinaglia,4,41.8977781,12.4955287,2,25,18,12,5,1,,,,1
690,Hotel Scalinata Di Spagna,Piazza della Trinità dei Monti,17,41.9056839,12.4834313,3,41,16,,8,7,,,,1
691,Scenario Hotel,Vicolo delle Ceste,26,41.897222,12.477659,3,24,12,,12,,info@hotelscenario.com,668806130,,1
692,Scheppers Hotel,Via Bogliasco,36,41.8885491,12.4006736,3,98,43,,31,12,,,,13
693,Hotel Selene,Via del Viminale,8,41.900698,12.496765,3,97,41,2,24,13,,,,1
694,Hotel Selva Candida,Via di Selva Candida,200,41.9321512,12.3780699,3,24,,,,,,,,14
695,Hotel Serena,Via Principe Amedeo,64,41.899252,12.499962,3,96,46,8,26,12,,,,1
696,Seventy Seven Hotel,Via Agostino Depretis,77,41.8990393,12.4958356,4,86,52,23,24,5,direzionemaison@gmail.com,639030146,,1
697,Hotel Siena,Via di Sant'Andrea delle Fratte,33,41.9032888,12.4830925,4,30,20,10,10,,,,,1
698,Hotel Silla,Via Silla,3,41.9093507,12.4591178,2,25,16,8,7,1,,,,1
699,Hotel Silva,Via Antonio Bosio,20 A,41.9150897,12.5144322,3,23,13,3,10,,,,,2
700,Singer Palace Hotel,Via Alessandro Specchi,10,41.8989514,12.4811345,5,58,29,,29,,welcome@singerpalace.com,3490816300,,1
701,Hotel Sisto V,Via Lardaria,10,41.926541,12.4257221,3,70,39,10,28,,,,,14
702,Hotel Sol Levante,Via Palestro,87,41.903402,12.505986,1,19,10,2,7,1,,,,1
703,Hotel Sonya,Via del Viminale,58,41.8999905,12.49558,3,25,15,5,10,,,,,1
704,Sophie Terrace Hotel,Via Principe Amedeo,6,41.9004762,12.4975672,3,42,20,,19,,alessiosiciliano@alice.it,3290206661,,1
705,St.B Boutique Hotel,Via di San Basilio,57,41.9048136,12.4896497,1,15,8,1,7,,info@stbhotel.com,683978691,,1
706,Hotel St. Moritz,Via Nazionale,51,41.8997905,12.4921268,3,44,19,2,10,6,,,,1
707,Hotel Stendhal,Via del Tritone,113,41.9034526,12.4875598,4,46,30,14,16,,,,,1
708,Hotel Stromboli,Via Marsala,34,41.9027645,12.5019548,3,94,51,17,26,7,,,,1
709,Hotel Suisse,Via Gregoriana,54,41.9044651,12.4852427,2,24,12,2,8,2,,,,1
710,Suite Sistina For Brave Lovers Hotel,Via Sistina,91,41.9051122,12.4854,3,60,27,,21,6,info@suitesistina.com,620368380,www.suitesistina.com,1
711,Tb Place Roma Hotel,Via Mario De Fiori,93,41.9039086,12.4824586,4,48,22,,20,,andrealimentani@gmail.com,3391494845,,1
712,Hotel Teatro Pace 33,Via del Teatro Pace,33,41.8987355,12.4715238,1,34,20,7,12,1,,,,1
713,Hotel Tempio Di Apollo,Piazza della Colonnetta,8,42.0196767,12.3930142,2,33,16,1,13,2,,,,15
714,Hotel Terminal,Via Principe Amedeo,103,41.8979206,12.5016026,3,89,35,5,6,24,booking@albergoterminal.com,64466867,,1
715,Terrace Pantheon Relais Hotel.,Via di Torre Argentina,18,41.8964585,12.4764196,4,70,32,3,22,5,tpr.amministrazione@gmail.com,66877992,,1
716,Tex Hotel,Via Giovanni Amendola,97,41.8993536,12.5006773,3,81,39,9,20,8,info@hoteltexroma.it,662283973,www.hoteltexroma.it,1
717,Texas Seven Hills,Via Firenze,47,41.9027673,12.4937521,2,33,18,5,11,2,,,,1
718,The B Place Hotel,Via degli Scipioni,239,41.9105512,12.4656678,3,19,9,,8,1,x3332327762@gmail.com,3332327762,,1
719,The Boutique Hotel,Via Cola di Rienzo,243,41.9074132,12.4622053,3,62,14,1,9,4,info@theboutiquehotel.it,63241854,www.theboutiquehotel.it,1
720,The Church Village,Via di Torre Rossa,94,41.8914797,12.4243137,3,451,252,53,199,,,,,13
721,The Fifteen Keys Hotel,Via Urbana,6,41.8976755,12.495531,4,25,15,5,10,,info@fifteenkeys.com,648913446,,1
722,The One Boutique Hotel & S.P.A.,Via del Traforo,133,41.9024033,12.4863792,4,24,14,7,4,3,manager@theoneboutiquehotel.com,3395412151,,1
723,The Opera Hotel,Via Nazionale,36,41.9003885,12.4929964,1,25,13,2,10,1,,,,1
724,The Radical Hotel Roma,Via Umbria,7,41.9058417,12.4927894,3,23,11,1,8,2,stay@theradicalhotel.it,698937366,www.theradicalhotel.it,1
725,The Relaxing Hotel,Via Cavour,261,41.8941843,12.4906858,2,17,7,1,2,4,marketing@therelaxinghotels.com,64815736,www.therelaxinghotels.com,1
726,The Shire Hotel,Via Vittorio Veneto,146,41.9090489,12.4882683,3,32,9,2,7,,info@theshirehotel.com,645541040,www.theshirehotel.com,1
727,The Strand Hotel,Via Tuscolana,892,41.8628842,12.5505418,3,24,18,13,4,1,thestrandhotel@hotmail.com,676969978,,7
728,Hotel Tirrenia,Lungomare Paolo Toscanelli,74,41.7290531,12.279081,3,14,9,4,5,,,,,10
729,Hotel Tirreno,Via di San Martino ai Monti,17,41.895537,12.498192,3,81,48,23,17,8,,,,1
730,Tmark Hotel Vaticano,Viale Vaticano,99,41.9065755,12.451126,4,58,24,3,11,7,sede@tmarkhotelvaticano.it,639745562,www.tmarkhotelvaticano.it,1
731,Hotel Torre Di Pratolungo,Via Gianni Nazareno,2,41.9454999,12.6068212,3,192,72,,24,48,,,,4
732,Hotel Trinita' Dei Monti,Via Sistina,91,41.9051122,12.4854,3,57,24,3,11,8,nuovohoteltrinitadeimonti@gmail.com,39066990111,www.hoteltrinitadeimonti.com,1
733,Hotel Tritone,Via del Tritone,210,41.9018413,12.4820174,3,99,43,5,24,10,,,,1
734,Hotel Tuscolana,Via Tuscolana,185,41.879907,12.5216337,3,34,19,6,11,2,,,,7
735,Twenty One Art Hotel,Via Cola di Rienzo,23,41.9092175,12.4691167,4,167,93,29,57,4,info@twentyonerome.com,632609607,http://www.twentyonehotelrome.com,1
736,Twenty One Art Hotel,Via Cola di Rienzo,23,41.9092175,12.4691167,4,167,93,29,57,4,info@twentyonerome.com,632609607,http://www.twentyonehotelrome.com,1
737,Hotel Urbana 50,Via Urbana,50,41.8956125,12.4938442,1,12,7,3,3,1,,,,1
738,Vanity Hotel Navona,Via Giuseppe Zanardelli,36,41.9015349,12.4717818,2,19,9,,8,1,vanityhotelnavona@email.it,669342848,,1
739,Hotel Ventura,Via Palestro,88,41.9033809,12.5065237,3,25,13,2,10,1,info@hotelphilia.it,64469026,www.hotelphilia.it,1
740,Hotel Villa Delle Rose,Via Vicenza,5,41.903325,12.5035665,3,66,37,8,29,,,,,1
741,Hotel Villa Duse,Via Alamanno Morelli,1,41.9293439,12.4924778,4,30,15,2,11,2,,,,2
742,Hotel Villa Giannetto,Via Roccaforte del Greco,325,41.8696211,12.6919985,1,23,12,3,7,2,,,,6
743,Hotel Villa Linneo,Via Carlo Linneo,1,41.919566,12.4826445,3,21,9,,6,3,,,,2
744,Hotel Villa Spada,Via Maria Elena Bettini,20,41.9731982,12.5067029,3,44,24,9,10,5,,,,3
745,Viminale View Hotel,Piazza del Viminale,14,41.900059,12.4943834,3,22,10,,8,2,info@viminaleviewhotel.com,64875314,,1
746,Hotel Virginia,Via Montebello,94,41.906112,12.5010718,2,16,8,1,6,1,,,,1
747,Vitti Hotel,Via Casilina,1805 P,41.8631671,12.6801888,2,22,13,4,9,,info@hotelvitti.it,3331681809,www.hotelvitti.it,6
748,Hotel Washington,Via Giovanni Amendola,77,41.8996164,12.5002273,2,25,12,2,8,1,info@hotelwashington.it,688795851,,1
749,Hotel Welrome,Via Calatafimi,15,41.9047853,12.49992,2,18,7,,4,2,,,,1
750,Hotel White,Via In Arcione,77,41.9018984,12.485622,4,78,42,13,22,7,,,,1
751,Hotel Windrose,Via Gaeta,35,41.9045189,12.5003307,3,85,52,25,21,6,,,,1
752,Hotel York Hotel,Via Cavriglia,24,41.9477767,12.515245,3,59,38,20,15,3,,,,3
